auction_id,ConvertedDateTime,creative_duration,creative_id,campaign_id,advertiser_id,placement_id,placement_language,website_id,referer_deep_three,ua_country,ua_os,ua_browser,ua_browser_version,ua_device,user_average_seconds_played,seconds_played
79e1a817-5cdf-4647-b1bc-085eef59fd6f,2018-01-30 00:00,28,198703,215548,2211,44411,es,30467,com/apertura/realstate,ar,iOS,Safari mobile,11.0,Phone,,2
7cc34d53-d211-4fd3-ab70-8380f6578f54,2018-01-30 17:34,26,202215,215127,6809,48065,en,32298,pe/rpp/peru,pe,Android,Chrome Mobile,55.0,Phone,,0
7df839f1-e279-4640-99ee-48b497c3e952,2018-01-30 02:13,15,198514,215163,3978,43247,en,29786,com/destinationtips/air-travel,us,iOS,Facebook App,,Tablet,,10
7f7ce586-e5ea-4320-be44-b3955801451d,2018-01-30 12:28,90,200028,212177,8730,42455,pt,29417,com.br/baixaki/download,br,Windows,Chrome,62.0,PersonalComputer,,37
80a2c52d-c26b-4950-9fa8-cad9c489f22b,2018-01-30 15:54,9,197250,208437,4699,44662,de,30587,de/dogforum/index.php,at,iOS,Safari mobile,11.0,Phone,,2
80b7412a-dfbc-4792-8879-6d7ff837411d,2018-01-30 00:28,14,201291,213746,6152,44222,en,30353,com/greatist/grow,us,Android,Chrome Mobile,63.0,Phone,,5
843b9c89-2d22-480f-bf4f-6bd21e2fd741,2018-01-30 18:51,14,199295,211998,5093,44222,en,30353,com/greatist/fitness,us,Windows,Chrome,63.0,PersonalComputer,4,1
84b2e5f7-0e50-44d4-9b9d-e03d64552b5e,2018-01-30 18:37,109,201736,211465,7096,42600,es,29493,com/dineroenimagen/m,mx,Android,Chrome Mobile,63.0,Phone,0,4
865de212-37a4-4178-967e-7abc57affbb1,2018-01-30 17:14,9,197250,208437,4699,45254,de,30887,de/99damage/csgo,at,iOS,Facebook App,,Phone,,1
b3d88c95-457e-4699-86c4-c6b43b392308,2018-01-30 14:24,30,201296,213746,6152,43247,en,29786,com/destinationtips/travel,us,Android,Facebook App,,Phone,0,1
b4a45403-0d33-464a-9c98-633f73823327,2018-01-30 17:46,29,189038,200179,1389,43567,en,29950,com/dallasnews/business,us,OS X,Safari,11.0,PersonalComputer,,0
b4f9b83d-a8d0-4cc4-af06-0c4dd035cea5,2018-01-30 00:09,15,198938,211437,1939,42335,es,29371,com.ar/lacapital/m,ar,iOS,Safari mobile,11.0,Tablet,,0
b5ff9326-5c6e-4654-93e2-0c0134414449,2018-01-30 04:02,29,198059,210343,3562,43567,en,29950,com/dallasnews/news,us,iOS,Safari mobile,,Phone,11.5,15
b675fa1e-2e49-466e-a9d4-5ad132d53ea0,2018-01-30 22:06,30,200633,213197,1998,40115,it,28327,it/lavoratorio/annuncio-lavoro,it,Android,Chrome Mobile,64.0,Phone,27,7
b866020c-150d-47d7-be27-d002f30a2526,2018-01-30 22:01,14,200697,213287,2998,44222,en,30353,com/greatist/health,us,Windows,Chrome,63.0,PersonalComputer,0,1
b97f866a-aa5f-4574-b95a-89032e0bc0dd,2018-01-30 19:32,11,201369,214003,2295,44222,en,30353,com/greatist/happiness,us,OS X,Chrome,63.0,PersonalComputer,,1
b9bbf2cd-6263-4733-87a1-f99ffd7390e3,2018-01-30 19:25,29,201302,213745,6152,44222,en,30353,com/greatist/health,us,Windows,Chrome,63.0,PersonalComputer,,0
ef670f05-40bc-4927-9bd3-80119020d619,2018-01-30 23:00,15,180692,208037,3617,44810,de,30659,de/iphone-tricks/anleitung,de,iOS,Google App,41.0,Phone,,3
ef81236d-0c2a-4c7c-aceb-792caccfe625,2018-01-30 01:43,11,201368,214003,2295,44222,en,30353,com/greatist/health,us,macOS,Chrome,63.0,PersonalComputer,,2
f27f195c-0a67-4c58-81c8-4a66a2bc0127,2018-01-30 20:44,45,200392,212881,6283,41035,de,24330,de/svz/regionales,de,iOS,Safari mobile,11.0,Phone,,1
f4388107-32d4-4c6f-b320-261378eddecc,2018-01-30 20:58,14,200910,213536,8970,44222,en,30353,com/greatist/health,ca,iOS,Google App,41.0,Phone,,2
f5681c0a-0d8e-41fd-8f82-9b5346a99c3d,2018-01-30 18:18,20,201098,213721,2635,48065,en,32298,pe/rpp/peru,pe,Android,Chrome Mobile,63.0,Phone,,2
f69faaec-3a32-4fd7-8069-f0b242aef2a5,2018-01-30 23:02,14,201983,214745,2116,48174,en,32318,com/reductress/post,ca,Windows,Chrome,63.0,PersonalComputer,,13
f7885270-231b-4fef-9abb-637a46e162fd,2018-01-30 04:01,11,201371,214003,2295,44222,en,30353,com/greatist/move,us,OS X,Chrome,63.0,PersonalComputer,,1
f825d0f3-220f-4f2a-a374-2d845fce03d4,2018-01-30 10:05,18,196594,197912,4201,45254,de,30887,de/99damage/csgo,de,iOS,Safari mobile,11.0,Phone,,3
f96db571-ff70-4132-ba61-eabd5d15412c,2018-01-30 18:06,110,201736,211465,7096,46164,es,31351,mx/facturaticket/enlinea,mx,Windows,IE,11.0,PersonalComputer,,0
5dc73688-bd9d-403d-bef6-489131556f2e,2018-01-30 17:16,29,202436,214873,8794,43247,en,29786,com/destinationtips/destinations,us,Android,Mobile Samsung Browser,6.0,Phone,,26
5e104ea7-b604-4be4-bde5-c65edae10204,2018-01-30 21:11,38,201246,213894,2635,48065,en,32298,pe/rpp/economia,pe,iOS,Chrome Mobile,64.0,Tablet,26,2
5ecb5b43-c8d5-4b3a-9be6-f312caef1e59,2018-01-30 12:11,20,198407,210907,1591,45959,es,31246,com/eldestapeweb/reaparecio-chilavert-y-defendio-mauricio-macri-n38930,ar,Android,Facebook App,,Phone,,0
6195d19b-9e16-4781-b423-ea92eb9d0961,2018-01-30 20:01,20,198407,210907,1591,46238,es,31402,com.ar/elsol/abuso-en-el-carrizal-las-ninas-de-12-anos-estaban-drogadas,ar,Android,Chrome Mobile,63.0,Phone,,20
653ec6cf-8be0-4b23-b791-bdd2b99a9872,2018-01-30 22:28,12,201368,214003,2295,44222,en,30353,com/greatist/eat,us,OS X,Safari,9.0,PersonalComputer,,2
67199c9a-7ff5-4ae4-acfa-c897b2d5d09d,2018-01-30 23:18,14,202918,215885,7595,43247,en,29786,com/destinationtips/attractions,us,iOS,Facebook App,,Phone,,0
6875ec18-4374-43d3-bc46-0cb0199fba43,2018-01-30 14:48,15,198940,211444,8970,44907,en,30710,com/sparkpeople/recipes,ca,iOS,Safari mobile,11.0,Tablet,27,15
6f2b99bb-5c4e-4ed8-8be1-d9d8cdf2fcdf,2018-01-30 00:12,29,200827,210527,8770,44905,en,30708,com/sparkpeople/blog,us,Windows,Microsoft Edge,16.0,PersonalComputer,3,1
